domena,ID reg,ID drzitela,Stav domeny,NS1,NS2,NS3,NS4,datum exspiracie
09xy.sk,WEBG-0001,ALL4-0004,OK,norm.ns.cloudflare.com,sara.ns.cloudflare.com,,,19.02.2021
1203minibus.sk,ELBI-0002,ELB-MEQGK1MIHWJ6,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,13.06.2019
1bitcoin.sk,ELBI-0002,ELB-YPRE3R7J63YU,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,24.11.2019
1home.sk,ELBI-0002,BLUE-0057,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,06.08.2019
24mtbikejam.sk,ELBI-0002,JSWO-0001,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,15.01.2020
2cosmetics.sk,WEBG-0001,WY-111497,OK,ns1.trailslash.com,ns2.trailslash.com,ns3.trailslash.com,ns4.trailslash.com,30.06.2020
2impress.sk,ELBI-0002,ELB-VMLO92VB3RWR,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,18.04.2020
2ip.sk,ELBI-0002,ELB-20PBF6S6ZAZQ,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,18.04.2020
2sis.sk,WEBG-0001,WY-112233,OK,ns1.trailslash.com,ns2.trailslash.com,ns3.trailslash.com,ns4.trailslash.com,17.04.2024
2you.sk,ELBI-0002,INFO-0074-1465,OK,ns.inetadmin.cz,ns.inetadmin.eu,ns.inetadmin.sk,,06.02.2020
3dsmile.sk,ELBI-0002,BLUE-0057,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,31.07.2019
3px.sk,ELBI-0002,ELB-0KR23FT3J8VP,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,21.11.2019
4english.sk,ELBI-0002,VNET-0001-1465,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,18.10.2019
4save.sk,ELBI-0002,ELB-XKWF21D0DVQ5,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,23.02.2020
7spa.sk,ELBI-0002,HLBO-0001,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,02.07.2019
a-repko.sk,ELBI-0002,ANTO-0339,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,14.04.2027
a3design.sk,ELBI-0002,A3DE-0004,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,14.11.2019
abbviecare.sk,ELBI-0002,C4PI-0002,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,14.10.2019
abelektro.sk,ELBI-0002,ANTO-0235-1465,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,04.03.2020
absalon.sk,UXSO-0001,H691259,OK,mona.ns.cloudflare.com,amit.ns.cloudflare.com,,,03.03.2021
abuba.sk,QDIG-0003,RMSK-0048,OK,ns1.q7.sk,ns2.q7.sk,,,17.04.2022
acai-berry.sk,ELBI-0002,ELB-M15C5E9JN5HR,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,04.06.2020
accountstudio.sk,ELBI-0002,MIRO-2127,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,08.03.2020
active-flora.sk,ZONE-0002,ZONERSK-1008935,OK,ns1.regzone.cz,ns1.regzone.info,ns1.regzone.de,,28.03.2020
activeflora.sk,ZONE-0002,ZONERSK-1008935,OK,ns1.regzone.cz,ns1.regzone.info,ns1.regzone.de,,28.03.2020
activereality.sk,ELBI-0002,ACTI-0031-1465,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,03.07.2019
acweb.sk,ELBI-0002,ANNA-0229-1465,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,20.05.2020
adamea.sk,ELBI-0002,ELB-O5T0HPJK8ZC9,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,09.10.2019
adaptec.sk,ELBI-0002,ELB-FYK2EG5JJWR7,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,19.07.2019
adc-media.sk,ELBI-0002,DESI-0030-1465,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,17.06.2019
adhersol.sk,ELBI-0002,ELB-8ZLDH17MM12N,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,28.06.2019
